Horizon started successfully.
[2023-01-09 16:36:31][722] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][722] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][724] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][724] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][725] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][725] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][726] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][726] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][727] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][727] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][728] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][728] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][729] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][729] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][730] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][710] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][710] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][713] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][713] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][715] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][715] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][717] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][717] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][720] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][720] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][721] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][721] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][723] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][723] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][730] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][732] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][732] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][731] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][731] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][733] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][733] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][734] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][734] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:32][735] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:32][735] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][737] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][737] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][739] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][739] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][741] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][741] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][742] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][742] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][743] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][743] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][746] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][746] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][747] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][747] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][749] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
